entity_id,year,legal_name_zh,province_name_zh,legal_level,status,verification_status,derivation_basis
CNUR-000001,1987,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1988,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1989,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1990,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1991,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1992,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1993,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1994,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1995,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1996,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1997,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1998,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,1999,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,2000,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2001,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2002,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2003,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2004,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2005,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2006,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2007,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2008,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2009,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2010,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2011,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2012,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2013,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2014,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2015,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2016,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2017,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2018,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2019,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2020,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2021,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2022,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2023,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2024,北京市,北京市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000001,2025,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000001,2026,北京市,北京市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1987,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1988,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1989,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1990,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1991,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1992,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1993,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1994,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1995,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1996,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1997,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1998,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,1999,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,2000,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2001,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2002,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2003,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2004,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2005,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2006,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2007,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2008,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2009,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2010,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2011,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2012,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2013,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2014,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2015,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2016,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2017,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2018,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2019,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2020,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2021,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2022,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2023,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2024,天津市,天津市,prefecture,active,reviewed,existing_2000_2024_roster
CNUR-000002,2025,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000002,2026,天津市,天津市,prefecture,active,reviewed,reviewed_event_chain
CNUR-000003,1987,石家庄市,河北省,prefecture,active,reviewed,reviewed_event_chain
CNUR-000003,1988,石家庄市,河北省,prefecture,active,reviewed,reviewed_event_chain
